algorithm,horizon,seed,fold,symbol,status,reason,observations,netReturn,sharpe,maxDrawdown,expectedShortfall95,oodObservationRate,latencyP99Ms
constant_long,1,20260917,0,BTCUSDT,failed,drawdown_limit,279,-0.11532933097720632,-2.9652504357497675,0.15854294487320908,0.013240648239741819,0.0,0.005666879999999927
constant_long,1,20260917,0,DOGEUSDT,failed,drawdown_limit,181,-0.05920716913143098,-1.2480856679506398,0.15169342200477498,0.018956545572489235,0.0,0.0026383999999999986
constant_long,1,20260917,0,ETHUSDT,failed,drawdown_limit,227,-0.08306011126844504,-2.277183610507654,0.15280596390242907,0.013756619379250387,0.0,0.0028806
constant_long,1,20260917,0,LINKUSDT,failed,drawdown_limit,174,-0.08340792684303655,-2.6961256300979617,0.1539751421586515,0.015015389299227164,0.0,0.002080740000000002
constant_long,1,20260917,0,LTCUSDT,failed,drawdown_limit,181,-0.1033925316680222,-3.434008889341922,0.15186117279489875,0.015836640065093322,0.0,0.0024791999999999835
constant_long,1,20260917,0,SOLUSDT,failed,drawdown_limit,174,-0.02884665380008633,-0.6948107306096598,0.15049909810773088,0.0165316879905528,0.0,0.002953060000000001
constant_long,1,20260917,0,XRPUSDT,failed,drawdown_limit,180,-0.1285993381065551,-4.633839892418913,0.15226029760268356,0.015679502670629158,0.0,0.0021676200000000007
constant_short,1,20260917,0,ADAUSDT,complete,,599,0.057053616245322125,0.5229581083245977,0.11379365198151492,0.01930903941216921,0.0,0.0023343599999999997
constant_short,1,20260917,0,AVAXUSDT,failed,drawdown_limit,387,0.15553815738113674,1.3650387389949068,0.16054224225714742,0.02416876666683952,0.0,0.0018215399999999997
constant_short,1,20260917,0,BNBUSDT,complete,,599,0.015540644770113632,0.2441030959308496,0.14158669037097882,0.013149493193477187,0.0,0.0021959399999999982
constant_short,1,20260917,0,BTCUSDT,complete,,599,0.1586962869494073,1.7184749254589993,0.08246913597591099,0.01143383471614826,0.0,0.0022149799999999975
constant_short,1,20260917,0,DOGEUSDT,complete,,599,0.08777045693136731,0.7531757910298562,0.1446630861668603,0.017265516120873313,0.0,0.0020065199999999986
constant_short,1,20260917,0,ETHUSDT,failed,drawdown_limit,414,0.04920902534118121,0.6655116094055078,0.15570473946831553,0.015998020943827174,0.0,0.00202315
constant_short,1,20260917,0,LINKUSDT,complete,,599,0.033621490936818654,0.3614942566881981,0.14704393855197317,0.017997517067937563,0.0,0.001986999999999998
constant_short,1,20260917,0,LTCUSDT,complete,,599,0.11700564493118182,1.0294989002498949,0.12255723658491857,0.015186658506644505,0.0,0.0022132
constant_short,1,20260917,0,SOLUSDT,failed,drawdown_limit,387,0.04266667126692236,0.5264527710088565,0.15272209776768397,0.023173860790550567,0.0,0.0022490399999999995
constant_short,1,20260917,0,XRPUSDT,failed,drawdown_limit,584,0.04271997561503316,0.4790283667766516,0.15451642576579072,0.016442267616862457,0.0,0.0023072099999999996
historical_mean,1,20260917,0,ADAUSDT,failed,drawdown_limit,175,-0.05762213107055414,-1.605021572746502,0.15590466644013412,0.016173985854881896,0.0,1.5426798399999873
