id,kind,status,reasonCode,observations
ppo/h1/f0/s47/cost2x/AVAXUSDT,replay,failed,2,174
ppo/h1/f0/s47/cost2x/BNBUSDT,replay,complete,0,599
ppo/h1/f0/s47/cost2x/BTCUSDT,replay,failed,2,279
ppo/h1/f0/s47/cost2x/DOGEUSDT,replay,complete,0,599
ppo/h1/f0/s47/cost2x/ETHUSDT,replay,failed,2,227
ppo/h1/f0/s47/cost2x/LINKUSDT,replay,failed,2,174
ppo/h1/f0/s47/cost2x/LTCUSDT,replay,failed,2,273
ppo/h1/f0/s47/cost2x/SOLUSDT,replay,failed,2,174
ppo/h1/f0/s47/cost2x/XRPUSDT,replay,failed,2,182
ppo/h1/f0/s47/extreme25bp/ADAUSDT,replay,failed,2,175
ppo/h1/f0/s47/extreme25bp/AVAXUSDT,replay,failed,2,174
ppo/h1/f0/s47/extreme25bp/BNBUSDT,replay,complete,0,599
ppo/h1/f0/s47/extreme25bp/BTCUSDT,replay,failed,2,279
ppo/h1/f0/s47/extreme25bp/DOGEUSDT,replay,complete,0,599
ppo/h1/f0/s47/extreme25bp/ETHUSDT,replay,failed,2,227
ppo/h1/f0/s47/extreme25bp/LINKUSDT,replay,failed,2,174
ppo/h1/f0/s47/extreme25bp/LTCUSDT,replay,failed,2,273
ppo/h1/f0/s47/extreme25bp/SOLUSDT,replay,failed,2,174
ppo/h1/f0/s47/extreme25bp/XRPUSDT,replay,failed,2,182
ppo/h1/f0/s47/delay1bar/ADAUSDT,replay,failed,2,175
ppo/h1/f0/s47/delay1bar/AVAXUSDT,replay,failed,2,174
ppo/h1/f0/s47/delay1bar/BNBUSDT,replay,failed,2,284
ppo/h1/f0/s47/delay1bar/BTCUSDT,replay,failed,2,279
ppo/h1/f0/s47/delay1bar/DOGEUSDT,replay,failed,5,138
ppo/h1/f0/s47/delay1bar/ETHUSDT,replay,failed,2,229
ppo/h1/f0/s47/delay1bar/LINKUSDT,replay,failed,2,174
ppo/h1/f0/s47/delay1bar/LTCUSDT,replay,failed,2,226
ppo/h1/f0/s47/delay1bar/SOLUSDT,replay,failed,2,175
ppo/h1/f0/s47/delay1bar/XRPUSDT,replay,failed,2,180
ppo/h1/f0/s47/partial50pct/ADAUSDT,replay,failed,2,175
ppo/h1/f0/s47/partial50pct/AVAXUSDT,replay,failed,2,174
ppo/h1/f0/s47/partial50pct/BNBUSDT,replay,failed,2,293
ppo/h1/f0/s47/partial50pct/BTCUSDT,replay,failed,2,279
ppo/h1/f0/s47/partial50pct/DOGEUSDT,replay,failed,2,278
ppo/h1/f0/s47/partial50pct/ETHUSDT,replay,failed,2,229
ppo/h1/f0/s47/partial50pct/LINKUSDT,replay,failed,2,174
ppo/h1/f0/s47/partial50pct/LTCUSDT,replay,failed,2,273
