rank,w_adx,t_trend,t_range,sharpe,max_drawdown,win_rate,closed_trades,avg_trade,profit_factor,error
85,0.2,0.55,0.65,2.6574789055484636,0.05371342210276938,0.75,4,0.007012660192924514,2.120929730086597,
86,0.3,0.55,0.45,2.6574789055484636,0.05371342210276938,0.75,4,0.007012660192924514,2.120929730086597,
87,0.3,0.55,0.5,2.6574789055484636,0.05371342210276938,0.75,4,0.007012660192924514,2.120929730086597,
88,0.3,0.55,0.55,2.6574789055484636,0.05371342210276938,0.75,4,0.007012660192924514,2.120929730086597,
89,0.3,0.55,0.6,2.6574789055484636,0.05371342210276938,0.75,4,0.007012660192924514,2.120929730086597,
90,0.3,0.55,0.65,2.6574789055484636,0.05371342210276938,0.75,4,0.007012660192924514,2.120929730086597,
91,0.4,0.6,0.45,2.6252754946325307,0.049797455283219,0.75,3,0.00669051157642353,2.102093328978939,
92,0.4,0.6,0.5,2.6252754946325307,0.049797455283219,0.75,3,0.00669051157642353,2.102093328978939,
93,0.4,0.6,0.55,2.6252754946325307,0.049797455283219,0.75,3,0.00669051157642353,2.102093328978939,
94,0.4,0.6,0.6,2.6252754946325307,0.049797455283219,0.75,3,0.00669051157642353,2.102093328978939,
95,0.4,0.6,0.65,2.6252754946325307,0.049797455283219,0.75,3,0.00669051157642353,2.102093328978939,
96,0.5,0.6,0.45,2.6252754946325307,0.049797455283219,0.75,3,0.00669051157642353,2.102093328978939,
97,0.5,0.6,0.5,2.6252754946325307,0.049797455283219,0.75,3,0.00669051157642353,2.102093328978939,
98,0.5,0.6,0.55,2.6252754946325307,0.049797455283219,0.75,3,0.00669051157642353,2.102093328978939,
99,0.5,0.6,0.6,2.6252754946325307,0.049797455283219,0.75,3,0.00669051157642353,2.102093328978939,
100,0.5,0.6,0.65,2.6252754946325307,0.049797455283219,0.75,3,0.00669051157642353,2.102093328978939,
101,0.6,0.6,0.45,2.6252754946325307,0.049797455283219,0.75,3,0.00669051157642353,2.102093328978939,
102,0.6,0.6,0.5,2.6252754946325307,0.049797455283219,0.75,3,0.00669051157642353,2.102093328978939,
103,0.6,0.6,0.55,2.6252754946325307,0.049797455283219,0.75,3,0.00669051157642353,2.102093328978939,
104,0.6,0.6,0.6,2.6252754946325307,0.049797455283219,0.75,3,0.00669051157642353,2.102093328978939,
105,0.6,0.6,0.65,2.6252754946325307,0.049797455283219,0.75,3,0.00669051157642353,2.102093328978939,
106,0.2,0.45,0.45,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
107,0.2,0.45,0.5,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
108,0.2,0.45,0.55,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
109,0.2,0.45,0.6,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
110,0.2,0.45,0.65,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
111,0.3,0.45,0.45,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
112,0.3,0.45,0.5,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
113,0.3,0.45,0.55,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
114,0.3,0.45,0.6,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
115,0.3,0.45,0.65,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
116,0.3,0.5,0.45,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
117,0.3,0.5,0.5,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
118,0.3,0.5,0.55,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
119,0.3,0.5,0.6,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
120,0.3,0.5,0.65,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
121,0.4,0.45,0.45,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
122,0.4,0.45,0.5,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
123,0.4,0.45,0.55,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
124,0.4,0.45,0.6,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
125,0.4,0.45,0.65,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
126,0.4,0.5,0.45,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
127,0.4,0.5,0.5,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
128,0.4,0.5,0.55,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
129,0.4,0.5,0.6,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
130,0.4,0.5,0.65,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
131,0.5,0.45,0.45,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
132,0.5,0.45,0.5,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
133,0.5,0.45,0.55,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
134,0.5,0.45,0.6,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
135,0.5,0.45,0.65,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
136,0.5,0.5,0.45,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
137,0.5,0.5,0.5,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
138,0.5,0.5,0.55,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
139,0.5,0.5,0.6,2.4624456608369254,0.05371342210276925,0.75,4,0.0064586837458242286,2.0333923282956103,
