openTime,close,high,low
1767126600000,860.440,860.440,859.520
1767126900000,859.770,860.670,859.710
1767127200000,859.710,859.970,859.500
1767127500000,859.660,860.530,859.490
1767127800000,859.070,859.900,859.070
1767128100000,859.320,859.370,859.070
1767128400000,860.130,860.740,858.930
1767128700000,860.560,860.890,860.120
1767129000000,860.810,860.860,860.500
1767129300000,861.310,861.420,860.800
1767129600000,861.630,861.670,861.300
1767129900000,861.200,861.630,861.000
1767130200000,861.080,861.370,860.900
1767130500000,860.600,861.090,860.600
1767130800000,861.300,861.300,860.600
1767131100000,861.320,861.580,861.210
1767131400000,861.370,861.370,861.100
1767131700000,861.760,861.760,861.350
1767132000000,862.970,863.130,861.760
1767132300000,863.400,863.400,862.960
1767132600000,863.190,863.400,862.540
1767132900000,863.010,863.220,862.750
1767133200000,862.890,863.160,862.800
1767133500000,862.550,862.890,862.550
1767133800000,862.080,862.700,861.920
1767134100000,861.480,862.090,861.240
1767134400000,861.580,861.780,861.170
1767134700000,861.980,862.000,861.570
1767135000000,861.610,861.980,861.610
1767135300000,862.080,862.090,861.610
1767135600000,862.150,862.820,861.720
1767135900000,862.460,862.750,862.010
1767136200000,862.990,863.210,862.360
1767136500000,863.290,863.580,862.740
1767136800000,862.430,863.470,862.430
1767137100000,862.210,862.740,862.000
1767137400000,862.360,862.370,861.880
1767137700000,862.010,862.560,862.000
1767138000000,862.020,862.090,861.800
1767138300000,861.630,862.020,861.530
1767138600000,861.670,861.910,861.550
1767138900000,862.140,862.140,861.660
1767139200000,862.290,863.010,862.100
1767139500000,861.120,862.360,861.120
1767139800000,860.820,861.250,860.740
1767140100000,860.560,861.010,860.450
1767140400000,860.670,861.020,860.540
1767140700000,861.180,861.580,860.530
1767141000000,861.320,861.320,860.120
1767141300000,860.960,861.480,860.960
1767141600000,861.260,861.430,860.820
1767141900000,860.540,861.260,860.530
1767142200000,860.040,860.600,859.890
1767142500000,860.010,860.120,859.640
1767142800000,860.200,860.520,859.730
1767143100000,859.680,860.380,859.420
1767143400000,860.380,860.530,859.370
1767143700000,862.630,862.760,860.370
1767144000000,862.630,863.090,862.160
1767144300000,862.430,862.640,862.000
1767144600000,863.460,863.470,862.430
1767144900000,862.390,863.630,862.380
1767145200000,862.860,863.110,862.380
1767145500000,862.640,863.260,862.630
1767145800000,862.080,862.640,861.730
1767146100000,861.900,862.210,861.770
1767146400000,861.570,861.910,861.000
1767146700000,860.850,861.580,860.840
1767147000000,861.610,861.620,860.830
1767147300000,861.500,861.680,861.160
1767147600000,861.250,861.780,861.250
1767147900000,860.670,861.260,860.550
1767148200000,860.440,860.930,860.430
1767148500000,859.790,860.900,859.790
1767148800000,860.200,860.240,859.500
1767149100000,859.960,860.280,859.700
1767149400000,861.170,861.350,859.500
1767149700000,860.530,861.160,860.530
1767150000000,860.620,860.840,860.330
1767150300000,861.240,861.400,860.540
1767150600000,860.680,861.230,860.630
1767150900000,860.140,860.690,859.910
1767151200000,858.990,860.270,858.870
1767151500000,858.990,859.000,858.740
1767151800000,859.000,859.280,858.740
1767152100000,858.220,859.000,858.150
1767152400000,859.070,859.070,858.100
1767152700000,859.500,859.580,858.790
1767153000000,859.810,859.960,859.490
1767153300000,859.660,859.960,859.650
1767153600000,859.990,860.320,859.590
1767153900000,859.590,859.990,859.590
1767154200000,859.760,860.090,859.330
1767154500000,860.600,860.720,859.660
1767154800000,859.640,860.610,859.550
1767155100000,860.210,860.220,859.630
1767155400000,860.920,860.930,860.210
1767155700000,860.790,861.000,860.630
1767156000000,861.180,861.370,860.620
1767156300000,860.900,861.500,860.900
1767156600000,861.540,861.600,860.900
1767156900000,861.660,861.660,860.990
1767157200000,861.040,861.980,861.040
1767157500000,861.350,861.350,860.700
1767157800000,861.440,861.590,861.120
1767158100000,861.890,861.900,861.440
1767158400000,862.450,862.460,861.890
1767158700000,862.620,862.920,862.370
1767159000000,863.080,863.200,862.270
1767159300000,864.000,864.100,862.920
1767159600000,864.400,864.400,863.520
1767159900000,863.880,864.430,863.680
1767160200000,864.000,864.000,863.600
1767160500000,863.590,864.050,863.550
1767160800000,864.360,864.630,863.290
1767161100000,865.840,865.860,864.320
1767161400000,865.580,866.320,865.520
1767161700000,865.570,865.790,864.940
1767162000000,866.320,866.380,865.470
1767162300000,865.790,866.350,865.640
1767162600000,865.730,865.990,865.630
1767162900000,865.350,865.720,864.560
1767163200000,865.450,865.500,865.220
1767163500000,866.620,866.820,865.440
1767163800000,867.080,867.200,866.410
1767164100000,866.520,867.220,866.420
1767164400000,866.460,867.000,866.450
1767164700000,866.070,866.690,865.990
1767165000000,866.110,866.320,865.570
1767165300000,865.530,866.100,865.350
1767165600000,866.080,866.170,865.350
1767165900000,865.990,866.510,865.990
1767166200000,865.800,866.060,865.780
1767166500000,866.050,866.200,865.790
1767166800000,866.770,866.770,866.040
1767167100000,867.950,867.950,866.650
1767167400000,867.990,868.000,867.700
1767167700000,868.450,868.450,867.980
1767168000000,868.650,869.400,868.300
1767168300000,868.750,869.710,868.650
1767168600000,868.150,869.010,868.080
1767168900000,867.870,868.150,867.180
1767169200000,867.790,868.210,867.500
1767169500000,867.090,867.790,866.830
1767169800000,867.480,867.500,867.050
1767170100000,865.580,867.490,865.530
1767170400000,866.250,866.310,865.530
1767170700000,866.840,867.060,865.650
1767171000000,866.800,866.860,866.460
1767171300000,866.870,866.930,866.660
1767171600000,867.080,867.250,866.770
1767171900000,866.680,867.320,866.260
1767172200000,866.200,866.760,866.000
1767172500000,866.900,866.910,866.200
1767172800000,866.830,867.390,866.830
1767173100000,866.620,867.040,866.620
1767173400000,866.260,866.620,866.230
1767173700000,866.700,866.830,866.200
1767174000000,866.250,866.710,866.250
1767174300000,866.380,866.450,866.200
1767174600000,866.480,866.520,866.340
1767174900000,865.900,866.490,865.880
1767175200000,866.040,866.090,865.820
1767175500000,868.390,868.390,865.820
1767175800000,868.570,869.620,868.380
1767176100000,868.320,868.840,868.310
1767176400000,867.830,868.310,867.480
1767176700000,867.430,867.880,867.420
1767177000000,867.060,867.430,866.560
1767177300000,867.350,867.460,867.050
1767177600000,867.510,867.520,866.960
1767177900000,868.050,868.210,867.390
1767178200000,868.330,868.330,868.040
1767178500000,868.660,868.720,868.020
1767178800000,868.370,868.730,868.190
1767179100000,869.360,869.490,868.340
1767179400000,868.940,869.570,868.940
1767179700000,869.240,869.610,868.730
1767180000000,868.440,869.360,868.410
1767180300000,868.780,868.990,868.270
1767180600000,868.430,868.940,868.340
1767180900000,869.260,869.360,868.440
1767181200000,869.770,869.820,869.250
1767181500000,869.440,869.780,869.000
