open,high,low,close,volume
2923.40000000,2925.00000000,2919.76000000,2924.08000000,363.25060000
2924.07000000,2924.07000000,2918.78000000,2919.15000000,396.25750000
2919.15000000,2919.15000000,2914.62000000,2915.69000000,878.03930000
2915.68000000,2921.16000000,2912.32000000,2920.55000000,2319.92580000
2920.54000000,2922.52000000,2918.70000000,2918.70000000,382.09270000
2918.70000000,2920.17000000,2914.01000000,2916.54000000,800.71840000
2916.55000000,2920.17000000,2915.53000000,2916.00000000,497.47210000
2916.00000000,2919.80000000,2913.59000000,2918.80000000,535.85950000
2918.81000000,2926.99000000,2918.80000000,2922.30000000,1609.70230000
2922.30000000,2922.50000000,2917.10000000,2918.69000000,761.04400000
2918.70000000,2924.31000000,2916.54000000,2923.79000000,308.22260000
2923.79000000,2925.45000000,2922.26000000,2922.26000000,424.22730000
2922.26000000,2922.26000000,2915.62000000,2916.85000000,369.35020000
2916.85000000,2922.38000000,2916.01000000,2916.73000000,412.26700000
2916.73000000,2916.89000000,2914.00000000,2915.11000000,2908.32990000
2915.11000000,2921.41000000,2915.11000000,2917.38000000,724.51500000
2917.38000000,2919.35000000,2915.22000000,2917.45000000,692.12630000
2917.44000000,2920.76000000,2916.21000000,2918.10000000,506.80440000
2918.05000000,2918.50000000,2904.00000000,2904.00000000,1960.26310000
2904.00000000,2912.50000000,2903.00000000,2905.80000000,2844.65640000
2905.80000000,2908.00000000,2901.75000000,2902.77000000,1272.10280000
2902.77000000,2905.99000000,2899.08000000,2899.99000000,1956.40990000
2900.00000000,2906.28000000,2900.00000000,2904.65000000,1124.62510000
2904.65000000,2905.44000000,2897.80000000,2898.54000000,1030.53340000
2898.53000000,2905.06000000,2897.92000000,2904.29000000,4573.69360000
2904.30000000,2909.18000000,2904.30000000,2907.16000000,644.85840000
2907.15000000,2907.88000000,2902.57000000,2904.94000000,751.33810000
2904.94000000,2904.95000000,2894.64000000,2902.42000000,1599.16910000
2902.43000000,2902.73000000,2895.53000000,2896.57000000,525.92840000
2896.57000000,2900.97000000,2895.61000000,2897.29000000,637.55970000
2897.29000000,2900.00000000,2887.50000000,2891.00000000,2288.02930000
2891.00000000,2892.60000000,2879.88000000,2880.00000000,3052.72300000
2879.99000000,2880.55000000,2868.56000000,2871.70000000,5573.50150000
2871.70000000,2876.34000000,2868.24000000,2875.18000000,2305.28830000
2875.18000000,2878.45000000,2872.55000000,2874.80000000,1467.01140000
