close,high,low
92440.32000000,92717.52000000,92360.84000000
92962.83000000,92990.00000000,92124.00000000
92616.20000000,93160.00000000,92566.55000000
91974.70000000,92851.06000000,91687.07000000
92320.18000000,92445.80000000,91798.24000000
92128.22000000,92400.94000000,92036.27000000
91950.00000000,92135.01000000,91440.55000000
91801.39000000,92062.83000000,91603.84000000
91934.00000000,92029.64000000,91485.40000000
91839.25000000,91999.99000000,91688.00000000
91529.36000000,92541.92000000,91451.99000000
91103.19000000,91682.60000000,90431.54000000
89869.88000000,91171.78000000,89835.34000000
87878.10000000,89911.73000000,87487.95000000
87233.81000000,88158.49000000,86395.47000000
86486.27000000,87769.23000000,86318.78000000
86921.28000000,87146.29000000,86100.00000000
86462.97000000,87131.07000000,86325.23000000
87282.60000000,87674.23000000,86429.09000000
88065.97000000,88250.00000000,87192.91000000
86637.23000000,88173.09000000,86560.00000000
87285.24000000,87498.94000000,86592.00000000
87049.86000000,87464.08000000,86834.81000000
85444.93000000,87067.52000000,85360.00000000
85821.34000000,86135.58000000,85433.39000000
86053.09000000,86119.19000000,85404.05000000
86195.08000000,86459.53000000,85825.59000000
85581.30000000,86255.02000000,85550.00000000
84049.39000000,85769.86000000,82000.00000000
83643.45000000,84709.89000000,83521.07000000
82207.84000000,83988.40000000,82104.01000000
82703.61000000,82911.99000000,81648.00000000
82309.66000000,83340.72000000,82192.49000000
83285.35000000,83618.13000000,80600.00000000
84115.28000000,84427.79000000,83116.86000000
84850.00000000,85496.00000000,83544.82000000
82932.47000000,85103.42000000,82729.54000000
84919.59000000,84919.60000000,82333.00000000
84877.07000000,85572.82000000,84565.11000000
84577.11000000,85083.31000000,83304.87000000
84209.30000000,85025.71000000,84080.00000000
84571.20000000,84650.00000000,83464.96000000
85182.14000000,85416.66000000,84351.51000000
84284.42000000,85404.24000000,84267.25000000
85129.43000000,85353.03000000,84121.38000000
84739.93000000,85620.00000000,84571.13000000
85174.28000000,85205.87000000,84588.75000000
84528.99000000,85205.87000000,84285.71000000
84440.47000000,84611.35000000,84212.39000000
84246.88000000,84548.30000000,83832.91000000
84280.92000000,84316.08000000,83868.53000000
84636.00000000,84799.54000000,84080.00000000
84580.06000000,84672.01000000,84400.00000000
84016.77000000,84586.62000000,83935.95000000
83929.52000000,84343.91000000,83666.00000000
83693.25000000,84211.50000000,83500.00000000
84098.94000000,84343.91000000,83592.45000000
83884.00000000,84160.80000000,83620.16000000
83947.89000000,84132.09000000,83653.12000000
84494.40000000,84755.83000000,83935.12000000
84284.01000000,84577.99000000,84014.39000000
84694.66000000,84899.00000000,84219.62000000
84554.20000000,84724.58000000,84423.98000000
84659.79000000,84678.38000000,84480.66000000
84609.76000000,84790.79000000,84510.53000000
84474.41000000,84808.22000000,84244.51000000
84411.30000000,84510.54000000,84237.70000000
85072.88000000,85260.00000000,84269.04000000
84739.74000000,85178.00000000,84670.56000000
84971.74000000,85325.94000000,84667.57000000
85879.83000000,86184.60000000,84950.97000000
86000.34000000,86349.84000000,85689.36000000
86308.54000000,86308.55000000,85820.68000000
86548.20000000,86860.00000000,86150.61000000
86358.28000000,86593.68000000,86004.85000000
85864.68000000,86500.00000000,85864.68000000
85782.19000000,85911.72000000,85420.00000000
86137.19000000,86196.94000000,85768.22000000
86393.02000000,86465.24000000,86080.02000000
86066.23000000,86452.00000000,86058.96000000
86331.28000000,86421.00000000,85814.92000000
86530.04000000,86892.00000000,86271.10000000
86928.31000000,86934.00000000,86318.98000000
86547.40000000,87200.00000000,86482.98000000
87087.44000000,87244.51000000,86451.90000000
86685.60000000,87500.00000000,86670.23000000
86746.51000000,86957.45000000,86502.47000000
86995.02000000,87259.58000000,86724.78000000
87325.01000000,87689.47000000,86938.60000000
87483.36000000,87694.68000000,87233.63000000
87992.02000000,88000.00000000,87150.00000000
88004.00000000,88127.64000000,87554.23000000
86830.00000000,88086.96000000,86701.54000000
86740.64000000,87211.33000000,85946.65000000
87068.51000000,87091.31000000,86399.99000000
87518.22000000,88059.44000000,87025.01000000
87460.02000000,87788.00000000,87200.69000000
86738.37000000,87600.00000000,86450.00000000
87468.29000000,87837.57000000,86675.82000000
86910.78000000,87518.06000000,86819.98000000
87050.39000000,87350.00000000,86700.00000000
86961.51000000,87050.39000000,86724.78000000
