open,high,low,close,volume
87009.82000000,87021.06000000,86867.48000000,86973.91000000,101.15445000
86973.90000000,87061.43000000,86942.20000000,86994.71000000,209.56865000
86994.71000000,87026.24000000,86820.22000000,86826.05000000,138.69071000
86826.05000000,86932.92000000,86751.50000000,86922.57000000,202.95940000
86922.56000000,86922.57000000,86761.00000000,86767.07000000,139.91368000
86767.08000000,86803.99000000,86666.00000000,86684.80000000,137.87010000
86684.79000000,86870.43000000,86681.43000000,86838.42000000,70.42286000
86838.41000000,86949.66000000,86786.46000000,86878.22000000,76.53461000
86878.21000000,87120.00000000,86786.31000000,87079.13000000,98.18498000
87079.13000000,87091.57000000,86876.59000000,87087.17000000,84.31145000
87087.17000000,87099.93000000,87008.61000000,87023.87000000,51.85769000
87023.86000000,87243.57000000,87023.86000000,87231.76000000,53.91896000
87231.76000000,87237.63000000,87025.91000000,87032.91000000,68.22439000
87032.90000000,87083.06000000,87032.90000000,87070.26000000,29.91079000
87070.26000000,87173.79000000,87050.48000000,87050.49000000,46.53566000
87050.48000000,87100.31000000,86950.01000000,86964.52000000,25.92038000
86964.51000000,87159.54000000,86956.26000000,87155.85000000,39.13467000
87155.85000000,87227.21000000,87155.84000000,87215.10000000,43.71161000
87215.10000000,87333.33000000,87144.00000000,87320.35000000,54.94168000
87320.35000000,87320.35000000,87165.12000000,87228.63000000,45.10396000
87228.63000000,87280.00000000,87217.31000000,87232.67000000,30.57462000
87232.67000000,87313.06000000,87168.35000000,87281.93000000,50.73957000
87281.92000000,87376.35000000,87236.00000000,87374.99000000,39.46016000
87375.00000000,87430.00000000,87374.99000000,87411.01000000,55.52096000
87411.00000000,87418.81000000,87313.20000000,87331.36000000,50.21691000
87331.36000000,87444.18000000,87316.08000000,87430.60000000,33.49643000
87430.60000000,87464.14000000,87390.02000000,87454.82000000,57.40688000
87454.82000000,87504.98000000,87415.51000000,87424.16000000,46.70729000
87424.16000000,87424.16000000,87310.00000000,87360.01000000,39.89083000
87360.02000000,87446.15000000,87356.10000000,87426.93000000,39.63494000
87426.93000000,87426.93000000,87360.48000000,87403.06000000,23.74080000
87403.07000000,87535.98000000,87403.06000000,87530.53000000,29.51964000
87530.53000000,87530.54000000,87414.73000000,87439.32000000,50.34775000
87439.33000000,87487.40000000,87411.76000000,87456.80000000,25.40603000
87456.81000000,87533.74000000,87414.01000000,87414.01000000,39.51054000
87414.02000000,87414.02000000,87325.54000000,87361.71000000,40.98165000
87361.71000000,87555.00000000,87361.71000000,87515.27000000,38.86811000
87515.27000000,87553.15000000,87406.49000000,87471.32000000,44.28200000
87471.32000000,87726.30000000,87426.00000000,87680.92000000,113.57258000
87680.92000000,87692.79000000,87525.00000000,87626.49000000,105.78168000
87626.49000000,87714.90000000,87623.58000000,87700.90000000,61.84135000
87700.90000000,87700.91000000,87605.27000000,87636.00000000,39.49988000
87635.99000000,87635.99000000,87454.54000000,87454.54000000,57.20876000
87454.54000000,87486.33000000,87399.75000000,87448.13000000,31.07311000
87448.13000000,87792.20000000,87422.00000000,87650.01000000,101.68699000
87650.01000000,87682.24000000,87517.06000000,87547.39000000,56.95196000
87547.40000000,87547.99000000,87465.98000000,87530.39000000,27.83552000
87530.39000000,87556.51000000,87502.77000000,87509.99000000,40.79691000
87510.00000000,87564.58000000,87400.00000000,87422.23000000,40.41319000
87422.23000000,87487.40000000,87329.08000000,87487.39000000,37.00475000
87487.39000000,87628.47000000,87436.49000000,87594.30000000,37.84080000
87594.30000000,87731.20000000,87564.98000000,87610.24000000,63.07706000
87610.25000000,87668.32000000,87507.36000000,87613.69000000,93.57175000
87613.68000000,87653.99000000,87559.75000000,87625.76000000,67.09843000
87625.77000000,87703.78000000,87568.20000000,87576.60000000,89.85354000
87576.60000000,87576.61000000,87188.40000000,87194.49000000,115.25892000
87194.49000000,87259.26000000,87028.00000000,87038.08000000,138.43933000
87038.08000000,87126.46000000,86870.50000000,87069.12000000,126.21745000
87069.12000000,87140.35000000,86885.99000000,86944.29000000,75.51987000
86944.30000000,87083.57000000,86944.30000000,87083.01000000,69.69006000
87083.00000000,87182.57000000,87007.78000000,87146.70000000,142.55484000
87146.70000000,87298.35000000,86893.28000000,86908.21000000,262.33585000
86908.21000000,87028.86000000,86824.71000000,86992.87000000,205.49612000
86992.87000000,86996.02000000,86882.46000000,86945.53000000,52.91420000
86945.53000000,87064.60000000,86877.00000000,87032.80000000,58.06409000
87032.81000000,87235.28000000,87032.81000000,87180.07000000,76.99090000
87180.07000000,87234.00000000,86900.00000000,87199.99000000,189.89021000
