open,high,low,close,volume
858.31000000,858.79000000,856.21000000,856.80000000,651.79300000
856.80000000,857.19000000,855.02000000,855.31000000,629.00500000
855.30000000,855.30000000,852.41000000,852.72000000,1362.93600000
852.72000000,853.33000000,851.44000000,852.51000000,733.37600000
852.50000000,852.60000000,851.39000000,851.88000000,608.21500000
851.88000000,852.20000000,848.67000000,848.98000000,2131.99200000
848.98000000,849.57000000,848.10000000,849.36000000,693.74100000
849.37000000,849.37000000,847.88000000,847.88000000,761.53800000
847.89000000,848.00000000,846.81000000,847.51000000,509.65800000
847.51000000,849.73000000,847.50000000,849.13000000,596.86300000
849.13000000,849.97000000,848.49000000,849.23000000,640.27500000
849.23000000,851.82000000,848.51000000,851.22000000,2724.55300000
851.22000000,852.84000000,850.22000000,852.79000000,480.31800000
852.78000000,852.78000000,851.52000000,851.73000000,455.19600000
851.73000000,853.27000000,851.73000000,852.74000000,435.46800000
852.73000000,852.74000000,851.17000000,851.61000000,313.81600000
851.61000000,852.60000000,851.60000000,852.16000000,248.63900000
852.16000000,853.09000000,852.08000000,852.48000000,316.65600000
852.48000000,852.79000000,851.14000000,851.41000000,228.34300000
851.41000000,854.25000000,851.40000000,853.37000000,495.64800000
853.36000000,854.45000000,853.36000000,853.95000000,1231.43900000
853.96000000,855.89000000,853.58000000,855.89000000,1470.98800000
855.89000000,855.89000000,853.95000000,854.31000000,764.25900000
854.32000000,854.44000000,853.31000000,853.84000000,535.38300000
853.84000000,853.85000000,852.39000000,853.21000000,501.65400000
853.21000000,854.26000000,853.10000000,854.18000000,339.26300000
854.17000000,854.31000000,853.90000000,854.10000000,270.15100000
854.11000000,854.29000000,852.10000000,852.10000000,290.44800000
852.10000000,854.16000000,852.10000000,853.91000000,504.60900000
853.92000000,854.60000000,853.71000000,854.09000000,171.51500000
854.08000000,854.80000000,853.10000000,853.11000000,515.51800000
853.11000000,853.60000000,852.38000000,853.32000000,333.80900000
853.33000000,854.03000000,853.32000000,853.72000000,219.58900000
853.72000000,853.72000000,851.72000000,852.20000000,973.64100000
852.20000000,852.87000000,852.04000000,852.87000000,206.71700000
852.86000000,852.99000000,852.06000000,852.38000000,351.68700000
852.37000000,852.40000000,851.51000000,851.87000000,217.32800000
851.86000000,852.64000000,850.97000000,851.01000000,491.15500000
